model,subgroup_variable,subgroup,n,prevalence,mean_predicted_risk,calibration_gap,roc_auc,pr_auc,sensitivity,specificity
XGBoost,Sex_group,Female,21317,0.12801989022845617,0.1296391264068366,0.0016192361783804454,0.8390956395072161,0.4189651195137222,0.7918651520703555,0.7354744996772111
XGBoost,Sex_group,Male,16735,0.15374962653122198,0.15243415504123695,-0.0013154714899850373,0.8125634453755454,0.4270872137500013,0.8138359891177613,0.6657251800593137
XGBoost,Age_group,18-34,5834,0.03239629756599246,0.02955669057539304,-0.00283960699059942,0.8523556455354506,0.29034668139045056,0.3862433862433862,0.9697077059344553
XGBoost,Age_group,35-49,9224,0.0931266261925412,0.09387562561690854,0.000748999424367347,0.8415290580311696,0.3801775051235977,0.6763678696158324,0.8217573221757322
XGBoost,Age_group,50-64,14352,0.17300724637681159,0.17205557420819076,-0.0009516721686208263,0.8110459915020081,0.45738748557265885,0.8405155054369714,0.6357738646895273
XGBoost,Age_group,65+,8642,0.2049294144873872,0.20907414229188556,0.0041447278044983715,0.738617719248347,0.40271736735509656,0.854884246188594,0.4664532091398632
XGBoost,Income_group,High,20141,0.09413633881137977,0.09440130299877794,0.00026496418739817285,0.8342189149561814,0.35586160623481156,0.6814345991561181,0.808879144971225
XGBoost,Income_group,Low,3182,0.25518541797611566,0.24494634630456805,-0.010239071671547612,0.7696685789112676,0.492629541495347,0.895320197044335,0.4767932489451477
XGBoost,Income_group,Lower-middle,5407,0.20954318476049566,0.21021805417411216,0.0006748694136164968,0.7910823712498776,0.4739605378365574,0.8967343336275375,0.5205896116050538
XGBoost,Income_group,Upper-middle,9322,0.15672602445827075,0.16059835932961694,0.0038723348713461947,0.8055720627072662,0.41472620467327737,0.8350444900752909,0.6342704490522835
XGBoost,Education_group,College graduate,16100,0.09385093167701863,0.09576018837281224,0.0019092566957936014,0.8393128799478533,0.35889583683756354,0.7021839841164792,0.8043046130646377
XGBoost,Education_group,High school,9386,0.18069465160877904,0.1777990006226853,-0.002895650986093734,0.7972087233481366,0.43975094118007596,0.8490566037735849,0.6055916775032509
XGBoost,Education_group,Some college,10497,0.15013813470515386,0.1491105691368709,-0.0010275655682829565,0.8225004651660344,0.43790232468981943,0.8121827411167513,0.6810895639502298
XGBoost,Education_group,Up to high school,2069,0.2508458192363461,0.26038122056698937,0.00953540133064329,0.7628951457517559,0.4849955268545682,0.9132947976878613,0.40774193548387094
